"URI","Label"
"http://d-nb.info/gnd/10038043-8","IFWD - Leibniz-Institut für Festkörper- und Werkstoffforschung, Dresden (Sektion D)"
"http://d-nb.info/gnd/2014524-X","IfZ - Institut für Zeitgeschichte München, München, Berlin (Sektion A)"
"http://d-nb.info/gnd/10025895-5","IGB - Leibniz-Institut für Gewässerökologie und Binnenfischerei, Berlin (Sektion E)"
"http://d-nb.info/gnd/16020644-3","IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren (Sektion E)"
"http://d-nb.info/gnd/6037010-5","IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder) (Sektion D)"
"http://d-nb.info/gnd/16175475-2","IKZ - Leibniz-Institut für Kristallzüchtung, Berlin (Sektion D)"
"http://d-nb.info/gnd/10123313-9","INM - INM - Leibniz-Institut für Neue Materialien, Saarbrücken (Sektion D)"
"http://d-nb.info/gnd/10360413-3","INP - Leibniz-Institut für Plasmaforschung und Technologie, Greifswald (Sektion D)"
"http://d-nb.info/gnd/10168766-7","IOM - Leibniz-Institut für Oberflächenmodifizierung, Leipzig (Sektion D)"
"http://d-nb.info/gnd/10061827-3","IÖR - Leibniz-Institut für ökologische Raumentwicklung, Dresden (Sektion B)"
"http://d-nb.info/gnd/1131732642","IOS - Leibniz-Institut für Ost- und Südosteuropaforschung, Regensburg (Sektion A)"
"http://d-nb.info/gnd/10353244-4","IOW - Leibniz-Institut für Ostseeforschung, Rostock-Warnemünde (Sektion E)"
"http://d-nb.info/gnd/10140857-2","IPB - Leibniz-Institut für Pflanzenbiochemie, Halle (Sektion C)"
"http://d-nb.info/gnd/10095026-7","IPF - Leibniz-Institut für Polymerforschung, Dresden (Sektion D)"
"http://d-nb.info/gnd/1069207349","IPHT - Leibniz-Institut für Photonische Technologien, Jena (Sektion D)"
"http://d-nb.info/gnd/10201111-4","IPK - Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung, Gatersleben (Sektion C)"
"http://d-nb.info/gnd/4073385-3","IPN - Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik an der Universität Kiel, Kiel (Sektion A)"
"http://d-nb.info/gnd/1100932461","IRS - Leibniz-Institut für Raumbezogene Sozialforschung, Erkner (Sektion B)"
"http://d-nb.info/gnd/16090656-8","ISAS - Leibniz-Institut für Analytische Wissenschaften – ISAS – e.V., Dortmund (Sektion D)"
"http://d-nb.info/gnd/1075931290","IUF - IUF – Leibniz-Institut für umweltmedizinische Forschung, Düsseldorf (Sektion C)"
"http://d-nb.info/gnd/1239691408","IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern (Sektion D)"
"http://d-nb.info/gnd/1069182672","IWH - Leibniz-Institut für Wirtschaftsforschung, Halle (Sektion B)"
"http://d-nb.info/gnd/1072317591","IWM - Leibniz-Institut für Wissensmedien, Tübingen (Sektion A)"
"http://d-nb.info/gnd/1156569087","IWT - Leibniz-Institut für Werkstofforientierte Technologien, Bremen (Sektion D)"
"http://d-nb.info/gnd/10174100-5","IZW - Leibniz-Institut für Zoo- und Wildtierforschung, Berlin (Sektion C)"
"http://d-nb.info/gnd/10066383-7","KIS - Leibniz-Institut für Sonnenphysik, Freiburg (Sektion D)"
"http://d-nb.info/gnd/16178962-6","LIAG - Leibniz-Institut für Angewandte Geophysik, Hannover (2008-2019)"
"http://d-nb.info/gnd/1253807752","LIB - Leibniz-Institut zur Analyse des Biodiversitätswandels, Bonn, Hamburg (Sektion C)"
"http://d-nb.info/gnd/1051827892","LIfBi - Leibniz-Institut für Bildungsverläufe, Bamberg (Sektion A)"
"http://d-nb.info/gnd/10150004-X","LIKAT - Leibniz-Institut für Katalyse e.V., Rostock (Sektion D)"
"http://d-nb.info/gnd/2169938-0","LIN - Leibniz-Institut für Neurobiologie, Magdeburg (Sektion C)"
"http://d-nb.info/gnd/1214378811","LIR - Leibniz-Institut für Resilienzforschung, Mainz (Sektion C)"
"http://d-nb.info/gnd/125397358X","LIT - Leibniz-Institut für Immuntherapie, Regensburg (Sektion C)"
"http://d-nb.info/gnd/1151135542","LSB - Leibniz-Institut für Lebensmittel-Systembiologie an der Technischen Universität München, Freising (Sektion C)"
"http://d-nb.info/gnd/10348416-4","LZI - Schloss Dagstuhl - Leibniz-Zentrum für Informatik, Wadern (Sektion D)"
"http://d-nb.info/gnd/5227880-3","MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin (Sektion D)"
"http://d-nb.info/gnd/37657-7","MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin (Sektion C)"
"http://d-nb.info/gnd/2018983-7","MFO - Mathematisches Forschungsinstitut, Oberwolfach (Sektion D)"
"http://d-nb.info/gnd/5240911-9","PDI - Paul-Drude-Institut für Festkörperelektronik, Berlin (Sektion D)"
"http://d-nb.info/gnd/1800081-2","PIK - Potsdam-Institut für Klimafolgenforschung, Potsdam (Sektion E)"
"http://d-nb.info/gnd/4028138-3","RGZM - Römisch-Germanisches Zentralmuseum - Leibniz-Forschungsinstitut für Archäologie, Mainz (Sektion A)"
"http://d-nb.info/gnd/1114189359","RWI - RWI – Leibniz-Institut für Wirtschaftsforschung, Essen (Sektion B)"
"http://d-nb.info/gnd/1203589883","SAFE - Leibniz-Institut für Finanzmarktforschung SAFE, Frankfurt am Main (Sektion B)"
"http://d-nb.info/gnd/16018966-4","SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main (Sektion C)"
"http://d-nb.info/gnd/1080328793","TIB - TIB – Leibniz-Informationszentrum Technik und Naturwissenschaften, Hannover (Sektion D)"
"http://d-nb.info/gnd/10169942-6","TROPOS - Leibniz-Institut für Troposphärenforschung, Leipzig (Sektion E)"
"http://d-nb.info/gnd/2140666-2","WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Leibniz-Institut im Forschungsverbund Berlin e.V., Berlin (Sektion D)"
"http://d-nb.info/gnd/90968-3","WZB - Wissenschaftszentrum Berlin für Sozialforschung, Berlin (Sektion B)"
"http://d-nb.info/gnd/10154023-1","ZALF - Leibniz-Zentrum für Agrarlandschaftsforschung, Müncheberg (Sektion E)"
"http://d-nb.info/gnd/1125565225","ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin (Sektion A)"
"http://d-nb.info/gnd/1049797671","ZB MED - ZB MED – Leibniz-Informationszentrum Lebenswissenschaften, Köln (2014-2016)"
"http://d-nb.info/gnd/10158795-8","ZBW - ZBW – Leibniz-Informationszentrum Wirtschaft, Hamburg, Kiel (Sektion B)"
"http://d-nb.info/gnd/2120785-9","ZEW - ZEW – Leibniz-Zentrum für Europäische Wirtschaftsforschung, Mannheim (Sektion B)"
"http://d-nb.info/gnd/1178031993","ZfL - Leibniz-Zentrum für Literatur- und Kulturforschung, Berlin (Sektion A)"
"http://d-nb.info/gnd/10127705-2","ZFMK - Zoologisches Forschungsmuseums Alexander Koenig - Leibniz-Institut für terrestrische Biodiversitätsforschung, Bonn (2005-2021)"
"http://d-nb.info/gnd/1134988761","ZMO - Leibniz-Zentrum Moderner Orient, Berlin (Sektion A)"
"http://d-nb.info/gnd/1128825635","ZMT - Leibniz-Zentrum für Marine Tropenforschung GmbH, Bremen (Sektion E)"
"http://d-nb.info/gnd/16083346-2","ZPID - Leibniz-Institut für Psychologie, Trier (Sektion A)"
"http://d-nb.info/gnd/5247582-7","ZZF - Leibniz-Zentrum für Zeithistorische Forschung, Potsdam (Sektion A)"
