"URI","Label"
"info:regal/zettel/null", "Bitte wählen Sie..."
"http://skos.um.es/unescothes/C02464", "Medizin"
"http://skos.um.es/unescothes/C01771", "Gesundheitswesen"
"http://skos.um.es/unescothes/C02780", "Ernährungswissenschaften"
"http://skos.um.es/unescothes/C00106", "Agrarwissenschaften"
"http://skos.um.es/unescothes/C01397", "Umweltwissenschaften"
"http://skos.um.es/unescothes/COL270", "Biologie"
"http://skos.um.es/unescothes/C02286", "Bibliotheks- und Informationswissenschaften"
"http://skos.um.es/unescothes/C02053", "Interdisziplinär"
